Row #,code,area,year,active_enterprises,births,birth_rate,deaths,death_rate,births,1_year_survival_number,1_year_survival_rate,2_year_survival_number,2_year_survival_rate,3_year_survival_number,3_year_survival_rate,4_year_survival_number,4_year_survival_rate,5_year_survival_number,5_year_survival_rate
109,E09000007,Camden,2006,22750,2485,11,2130,9.4,2485,2385,96,1950,78.5,1570,63.2,1245,50.1,1060,42.7
110,E09000008,Croydon,2006,11385,1580,14.2,1265,11.4,1580,1490,94.3,1185,75,955,60.4,750,47.3,610,38.6
115,E09000013,Hammersmith and Fulham,2006,10880,1470,13.5,1355,12.5,1470,1400,95.2,1115,75.9,895,60.9,690,46.8,545,37.1
116,E09000014,Haringey,2006,8420,1130,13.4,1000,11.9,1130,1080,95.6,870,77,690,61.1,550,48.4,470,41.6
117,E09000015,Harrow,2006,9910,1200,12.1,1075,10.9,1200,1165,97.1,965,80.4,785,65.4,620,51.6,540,45
118,E09000016,Havering,2006,7605,885,11.8,830,11,885,850,96,720,81.4,610,68.9,475,53.8,390,44.1
119,E09000017,Hillingdon,2006,9230,1165,12.8,925,10.2,1165,1125,96.6,930,79.8,745,63.9,585,50.4,490,42.1
120,E09000018,Hounslow,2006,9010,1175,13.4,950,10.8,1175,1120,95.3,945,80.4,760,64.7,605,51.4,480,40.9
121,E09000019,Islington,2006,12645,1640,12.8,1280,10,1640,1580,96.3,1290,78.7,1080,65.9,870,53.2,735,44.8
122,E09000020,Kensington and Chelsea,2006,11800,1445,12.4,1045,9,1445,1405,97.2,1175,81.3,970,67.1,790,54.9,655,45.3
123,E09000021,Kingston upon Thames,2006,6740,850,12.8,655,9.8,850,830,97.6,695,81.8,555,65.3,460,54.1,390,45.9
124,E09000022,Lambeth,2006,10005,1520,15.7,1125,11.6,1520,1465,96.4,1180,77.6,945,62.2,715,47.1,595,39.1
125,E09000023,Lewisham,2006,6720,1065,16.6,830,12.9,1065,1025,96.2,840,78.9,685,64.3,530,49.8,440,41.3
126,E09000024,Merton,2006,7970,1240,15.9,995,12.7,1240,1175,94.8,950,76.6,760,61.3,580,46.8,490,39.5
129,E09000027,Richmond upon Thames,2006,11060,1280,11.7,995,9.1,1280,1240,96.9,1040,81.3,840,65.6,675,52.7,580,45.3
130,E09000028,Southwark,2006,11535,1775,16,1245,11.2,1775,1710,96.3,1410,79.4,1115,62.8,855,48.1,720,40.6
131,E09000029,Sutton,2006,6555,810,12.5,660,10.2,810,785,96.9,665,82.1,550,67.9,450,55.6,395,48.8
134,E09000032,Wandsworth,2006,13705,1995,14.7,1650,12.2,1995,1915,96,1570,78.7,1255,62.9,965,48.4,805,40.4
156,E09000003,Barnet,2007,18555,2305,12.4,2650,14.3,2305,2300,99.8,1890,82,1380,59.7,1135,49.2,980,42.5
157,E09000004,Bexley,2007,6835,870,13,695,10.4,870,835,96,690,79.3,535,61.6,430,49.4,375,43.1
179,E09000026,Redbridge,2007,8615,1350,16.3,1260,15.2,1350,1315,97.4,1070,79.3,780,57.9,645,47.8,555,41.1
181,E09000028,Southwark,2007,12265,1960,17,1330,11.5,1960,1825,93.1,1525,77.8,1150,58.6,930,47.4,770,39.3
182,E09000029,Sutton,2007,6770,870,13.3,660,10.1,870,850,97.7,715,82.2,560,64.4,465,53.4,405,46.6
185,E09000032,Wandsworth,2007,14615,2550,18.6,1590,11.6,2550,2430,95.3,2005,78.6,1445,56.5,1115,43.7,910,35.7
186,E09000033,Westminster,2007,43975,5675,13.4,5465,12.9,5675,5205,91.7,4325,76.2,3255,57.4,2660,46.9,2295,40.4
205,E09000001,City of London,2008,13800,2005,15.9,1095,8.7,2005,1275,63.6,1060,52.8,875,43.6,770,38.4,665,33.2
207,E09000003,Barnet,2008,19360,2610,14.1,2345,12.6,2610,2295,87.9,1775,68,1395,53.4,1205,46.2,1030,39.5
208,E09000004,Bexley,2008,6920,795,11.6,740,10.8,795,755,95,595,74.5,470,59.1,410,51.6,345,43.4
209,E09000005,Brent,2008,12245,1950,16.6,1350,11.5,1950,1790,91.8,1385,70.9,1055,54.1,885,45.4,740,37.9
212,E09000008,Croydon,2008,11930,1575,13.4,1245,10.6,1575,1445,91.7,1145,72.8,870,55.2,740,47,630,40
213,E09000009,Ealing,2008,13885,2155,15.8,1500,11,2155,1970,91.4,1530,71.1,1175,54.5,975,45.2,830,38.5
214,E09000010,Enfield,2008,10195,1425,14.5,1115,11.3,1425,1335,93.7,1040,73,775,54.2,655,45.8,545,38.1
217,E09000013,Hammersmith and Fulham,2008,11750,1960,17.3,1345,11.9,1960,1705,87,1260,64.2,960,49,790,40.3,665,33.9
218,E09000014,Haringey,2008,9075,1425,16.4,955,11,1425,1315,92.3,995,69.8,745,52.3,630,44.2,545,38.2
219,E09000015,Harrow,2008,10570,1435,14.2,1250,12.3,1435,1325,92.3,1060,73.7,845,58.9,715,49.8,605,42.2
220,E09000016,Havering,2008,7975,1090,14,800,10.3,1090,1010,92.7,790,72.7,585,53.9,485,44.7,385,35.5
221,E09000017,Hillingdon,2008,9865,1395,14.6,1000,10.5,1395,1290,92.5,1050,75.2,835,59.9,725,52,605,43.4
222,E09000018,Hounslow,2008,9775,1510,16,960,10.2,1510,1395,92.4,1110,73.5,830,55,690,45.7,575,38.1
223,E09000019,Islington,2008,13550,1940,14.8,1295,9.9,1940,1700,87.6,1325,68.2,1040,53.6,855,44.1,710,36.6
224,E09000020,Kensington and Chelsea,2008,12375,1645,13.3,1140,9.2,1645,1470,89.4,1155,70.2,885,53.8,755,45.9,625,38
225,E09000021,Kingston upon Thames,2008,7405,1025,14.4,750,10.5,1025,945,92.2,730,71.6,590,57.6,500,48.8,415,40.5
227,E09000023,Lewisham,2008,7470,1290,18.1,750,10.5,1290,1200,93,900,70,660,51.2,545,42.2,450,34.9
228,E09000024,Merton,2008,8670,1370,16.5,950,11.4,1370,1255,91.6,1000,72.9,775,56.6,650,47.4,540,39.4
230,E09000026,Redbridge,2008,8970,1420,16.5,1155,13.4,1420,1320,93,1005,70.6,735,51.8,625,44,515,36.3
231,E09000027,Richmond upon Thames,2008,12040,1560,13.4,1160,10,1560,1445,92.6,1195,76.6,950,60.9,805,51.6,685,43.9
236,E09000032,Wandsworth,2008,15230,2570,17.6,1625,11.1,2570,2295,89.3,1800,70,1370,53.3,1125,43.8,915,35.6
237,E09000033,Westminster,2008,45965,6745,15.3,4425,10.1,6745,5440,80.7,4295,63.6,3310,49.1,2770,41.1,2340,34.7
277,E09000022,Lambeth,2009,11360,1445,12.8,1695,15,1445,1345,93.1,1050,72.7,840,58.1,665,46,560,38.8
279,E09000024,Merton,2009,8800,1085,12.5,1220,14.1,1085,1005,92.6,810,74.7,625,57.6,495,45.6,405,37.3
281,E09000026,Redbridge,2009,9435,1485,16.6,1450,16.2,1485,1290,86.9,1035,69.7,800,53.9,640,43.1,540,36.4
282,E09000027,Richmond upon Thames,2009,12170,1400,11.6,1380,11.5,1400,1305,93.2,1075,76.8,890,63.6,740,52.9,625,44.6
283,E09000028,Southwark,2009,13240,1690,13.2,1930,15,1690,1495,88.5,1200,71,950,56.2,775,45.9,645,38.2
284,E09000029,Sutton,2009,6915,715,10.4,840,12.2,715,660,92.3,550,76.9,435,60.8,355,49.7,315,44.1
287,E09000032,Wandsworth,2009,15270,2000,13.1,2270,14.9,2000,1865,93.3,1510,75.5,1225,61.3,960,48,815,40.8
288,E09000033,Westminster,2009,47010,5780,12.6,6045,13.2,5780,4520,78.2,3610,62.5,2885,49.9,2375,41.1,2010,34.8
307,E09000001,City of London,2010,15830,1730,11.6,1435,9.6,1730,1275,73.7,1085,62.7,900,52,765,44.2,680,39.3
311,E09000005,Brent,2010,12595,1630,13.1,1405,11.3,1630,1430,87.7,1165,71.5,890,54.6,755,46.3,650,39.9
312,E09000006,Bromley,2010,12965,1475,11.5,1410,10.9,1475,1300,88.1,1120,75.9,885,60,745,50.5,650,44.1
313,E09000007,Camden,2010,25380,2930,11.6,2640,10.5,2930,2375,81.1,1980,67.6,1585,54.1,1310,44.7,1130,38.6
314,E09000008,Croydon,2010,12560,1495,12.4,1495,12.4,1495,1295,86.6,1080,72.2,795,53.2,660,44.1,570,38.1
315,E09000009,Ealing,2010,14240,1715,12.1,1605,11.3,1715,1490,86.9,1215,70.8,940,54.8,780,45.5,675,39.4
316,E09000010,Enfield,2010,10920,1390,13.3,1430,13.6,1390,1165,83.8,965,69.4,730,52.5,620,44.6,530,38.1
319,E09000013,Hammersmith and Fulham,2010,11865,1640,13.8,1405,11.9,1640,1380,84.1,1135,69.2,875,53.4,715,43.6,600,36.6
320,E09000014,Haringey,2010,9825,1325,14.2,1145,12.3,1325,1150,86.8,940,70.9,720,54.3,620,46.8,535,40.4
321,E09000015,Harrow,2010,11645,1470,13.3,1365,12.4,1470,1270,86.4,1055,71.8,835,56.8,725,49.3,625,42.5
322,E09000016,Havering,2010,8155,890,11,975,12,890,785,88.2,645,72.5,510,57.3,430,48.3,365,41
323,E09000017,Hillingdon,2010,10235,1190,11.8,1125,11.1,1190,1065,89.5,880,73.9,690,58,600,50.4,520,43.7
324,E09000018,Hounslow,2010,10320,1415,14,1210,12,1415,1270,89.8,1075,76,850,60.1,710,50.2,615,43.5
326,E09000020,Kensington and Chelsea,2010,12365,1620,13.1,1285,10.4,1620,1350,83.3,1125,69.4,875,54,720,44.4,630,38.9
327,E09000021,Kingston upon Thames,2010,7725,885,11.6,915,12,885,755,85.3,640,72.3,510,57.6,425,48,365,41.2
328,E09000022,Lambeth,2010,11315,1555,13.7,1375,12.1,1555,1370,88.1,1155,74.3,890,57.2,760,48.9,655,42.1
329,E09000023,Lewisham,2010,7795,985,12.9,1005,13.2,985,875,88.8,700,71.1,545,55.3,455,46.2,390,39.6
333,E09000027,Richmond upon Thames,2010,12360,1400,11.5,1230,10.1,1400,1240,88.6,1080,77.1,865,61.8,740,52.9,640,45.7
334,E09000028,Southwark,2010,14165,1770,13.4,1520,11.5,1770,1525,86.2,1270,71.8,975,55.1,810,45.8,705,39.8
376,E09000019,Islington,2011,14395,2180,15.5,1385,9.8,2180,2015,92.4,1645,75.5,1340,61.5,1105,50.7,950,43.6
378,E09000021,Kingston upon Thames,2011,7770,985,12.8,760,9.8,985,920,93.4,780,79.2,640,65,540,54.8,470,47.7
379,E09000022,Lambeth,2011,11480,1945,17.2,1130,10,1945,1825,93.8,1475,75.8,1150,59.1,925,47.6,805,41.4
380,E09000023,Lewisham,2011,7845,1350,17.3,865,11.1,1350,1270,94.1,985,73,765,56.7,650,48.1,570,42.2
381,E09000024,Merton,2011,9355,1505,16.6,990,11,1505,1425,94.7,1160,77.1,925,61.5,770,51.2,655,43.5
383,E09000026,Redbridge,2011,10475,1770,17.5,1175,11.6,1770,1670,94.4,1325,74.9,1040,58.8,875,49.4,740,41.8
384,E09000027,Richmond upon Thames,2011,12340,1500,12.1,1270,10.3,1500,1420,94.7,1175,78.3,930,62,795,53,695,46.3
385,E09000028,Southwark,2011,14410,1995,14.1,1770,12.5,1995,1810,90.7,1425,71.4,1115,55.9,930,46.6,810,40.6
386,E09000029,Sutton,2011,7240,860,11.9,700,9.7,860,815,94.8,680,79.1,565,65.7,485,56.4,420,48.8
409,E09000001,City of London,2012,16765,1900,11.7,1655,10.2,1900,1435,75.5,1190,62.6,995,52.4,855,45,720,37.9
411,E09000003,Barnet,2012,22110,2995,14.1,3035,14.3,2995,2615,87.3,2090,69.8,1685,56.3,1430,47.7,1225,40.9
412,E09000004,Bexley,2012,7390,895,12.4,870,12,895,830,92.7,675,75.4,530,59.2,460,51.4,395,44.1
413,E09000005,Brent,2012,13220,1975,15.4,1545,12,1975,1810,91.6,1390,70.4,1095,55.4,920,46.6,775,39.2
414,E09000006,Bromley,2012,13425,1670,12.8,1410,10.8,1670,1555,93.1,1285,76.9,1040,62.3,875,52.4,745,44.6
415,E09000007,Camden,2012,26460,3140,12.1,2890,11.1,3140,2705,86.1,2175,69.3,1755,55.9,1460,46.5,1240,39.5
416,E09000008,Croydon,2012,13020,1765,13.9,1580,12.4,1765,1645,93.2,1300,73.7,1030,58.4,825,46.7,695,39.4
417,E09000009,Ealing,2012,15065,2225,15.3,1665,11.4,2225,2050,92.1,1635,73.5,1305,58.7,1115,50.1,945,42.5
418,E09000010,Enfield,2012,11280,1615,14.7,1430,13,1615,1485,92,1190,73.7,955,59.1,820,50.8,705,43.7
421,E09000013,Hammersmith and Fulham,2012,12270,1885,15.8,1330,11.2,1885,1700,90.2,1305,69.2,990,52.5,795,42.2,670,35.5
422,E09000014,Haringey,2012,10330,1500,15,1200,12,1500,1370,91.3,1070,71.3,850,56.7,720,48,610,40.7
423,E09000015,Harrow,2012,12375,1730,14.5,1505,12.6,1730,1605,92.8,1290,74.6,1035,59.8,880,50.9,750,43.4
425,E09000017,Hillingdon,2012,11020,1490,14.2,1265,12,1490,1380,92.6,1110,74.5,895,60.1,780,52.3,660,44.3
426,E09000018,Hounslow,2012,11505,1820,16.7,1205,11.1,1820,1650,90.7,1350,74.2,1060,58.2,900,49.5,790,43.4
427,E09000019,Islington,2012,15310,2335,16.2,1590,11,2335,2080,89.1,1610,69,1235,52.9,1050,45,890,38.1
428,E09000020,Kensington and Chelsea,2012,12570,1685,13.7,1265,10.3,1685,1505,89.3,1160,68.8,910,54,765,45.4,655,38.9
431,E09000023,Lewisham,2012,8235,1415,18,995,12.7,1415,1320,93.3,1065,75.3,835,59,710,50.2,600,42.4
432,E09000024,Merton,2012,9880,1530,16.4,1190,12.7,1530,1405,91.8,1105,72.2,875,57.2,760,49.7,650,42.5
475,E09000016,Havering,2013,8865,1460,17.4,940,11.2,1460,1370,93.8,1100,75.3,890,61,730,50,,
477,E09000018,Hounslow,2013,12230,2210,19.2,1255,10.9,2210,2070,93.7,1685,76.2,1370,62,1180,53.4,,
478,E09000019,Islington,2013,16850,3400,22.2,1645,10.7,3400,3110,91.5,2465,72.5,1935,56.9,1585,46.6,,
479,E09000020,Kensington and Chelsea,2013,12985,2095,16.7,1230,9.8,2095,1945,92.8,1560,74.5,1235,58.9,1040,49.6,,
480,E09000021,Kingston upon Thames,2013,8130,1185,14.7,850,10.5,1185,1110,93.7,910,76.8,745,62.9,610,51.5,,
481,E09000022,Lambeth,2013,17925,5115,34.5,2325,15.7,5115,4930,96.4,3265,63.8,2430,47.5,1720,33.6,,
482,E09000023,Lewisham,2013,8885,1825,22.2,975,11.8,1825,1735,95.1,1340,73.4,1000,54.8,845,46.3,,
483,E09000024,Merton,2013,10560,1945,19.7,1145,11.6,1945,1840,94.6,1525,78.4,1245,64,1010,51.9,,
485,E09000026,Redbridge,2013,12085,2435,21.7,1530,13.6,2435,2295,94.3,1815,74.5,1465,60.2,1210,49.7,,
488,E09000029,Sutton,2013,7805,1165,15.6,780,10.4,1165,1100,94.4,885,76,715,61.4,600,51.5,,
491,E09000032,Wandsworth,2013,16550,3180,20.1,1700,10.8,3180,3000,94.3,2410,75.8,1890,59.4,1560,49.1,,
492,E09000033,Westminster,2013,50915,7730,15.5,4845,9.7,7730,6610,85.5,5315,68.8,4280,55.4,3555,46,,
511,E09000001,City of London,2014,19250,2610,14.7,1640,9.2,2610,1905,73,1580,60.5,1325,50.8,,,,
513,E09000003,Barnet,2014,24555,3985,17.2,2855,12.3,3985,3510,88.1,2810,70.5,2295,57.6,,,,
514,E09000004,Bexley,2014,8430,1455,18.6,910,11.6,1455,1365,93.8,1145,78.7,950,65.3,,,,
515,E09000005,Brent,2014,14680,2585,18.6,1555,11.2,2585,2410,93.2,1930,74.7,1530,59.2,,,,
516,E09000006,Bromley,2014,14825,2190,15.6,1425,10.1,2190,2040,93.2,1710,78.1,1405,64.2,,,,
517,E09000007,Camden,2014,29020,4375,15.9,2630,9.6,4375,3805,87,3045,69.6,2425,55.4,,,,
518,E09000008,Croydon,2014,14400,2390,17.7,1530,11.3,2390,2230,93.3,1850,77.4,1510,63.2,,,,
519,E09000009,Ealing,2014,17475,3110,19.1,1795,11,3110,2880,92.6,2380,76.5,1940,62.4,,,,
520,E09000010,Enfield,2014,13015,2305,19.1,1505,12.5,2305,2095,90.9,1670,72.5,1305,56.6,,,,
524,E09000014,Haringey,2014,11875,2190,19.9,1290,11.7,2190,2055,93.8,1660,75.8,1330,60.7,,,,
525,E09000015,Harrow,2014,14000,2390,18.4,1460,11.3,2390,2190,91.6,1800,75.3,1470,61.5,,,,
526,E09000016,Havering,2014,9445,1485,16.8,1015,11.4,1485,1390,93.6,1160,78.1,925,62.3,,,,
527,E09000017,Hillingdon,2014,12485,2075,17.8,1270,10.9,2075,1935,93.3,1600,77.1,1290,62.2,,,,
530,E09000020,Kensington and Chelsea,2014,13635,2165,16.7,1225,9.4,2165,1980,91.5,1620,74.8,1280,59.1,,,,
531,E09000021,Kingston upon Thames,2014,8520,1270,15.6,820,10.1,1270,1185,93.3,995,78.3,790,62.2,,,,
574,E09000013,Hammersmith and Fulham,2015,14095,2560,19,1740,12.9,2560,2225,86.9,1695,66.2,,,,,,
576,E09000015,Harrow,2015,15155,2605,18.6,1805,12.9,2605,2375,91.2,1885,72.4,,,,,,
577,E09000016,Havering,2015,10115,1720,18.2,1085,11.5,1720,1605,93.3,1275,74.1,,,,,,
578,E09000017,Hillingdon,2015,13505,2310,18.5,1450,11.6,2310,2105,91.1,1685,72.9,,,,,,
579,E09000018,Hounslow,2015,13910,2525,19.4,1565,12,2525,2325,92.1,1840,72.9,,,,,,
580,E09000019,Islington,2015,22110,5470,29.2,4090,21.9,5470,3310,60.5,2560,46.8,,,,,,
581,E09000020,Kensington and Chelsea,2015,14350,2355,17.3,1455,10.7,2355,2050,87,1585,67.3,,,,,,
582,E09000021,Kingston upon Thames,2015,8970,1370,16.1,890,10.4,1370,1235,90.1,985,71.9,,,,,,
583,E09000022,Lambeth,2015,17280,3425,16.4,2620,12.5,3425,3210,93.7,2505,73.1,,,,,,
587,E09000026,Redbridge,2015,14595,3150,23.9,1960,14.9,3150,2860,90.8,2265,71.9,,,,,,
588,E09000027,Richmond upon Thames,2015,14185,2025,14.8,1370,10,2025,1855,91.6,1515,74.8,,,,,,
589,E09000028,Southwark,2015,17120,3135,19.8,1970,12.4,3135,2765,88.2,2220,70.8,,,,,,
590,E09000029,Sutton,2015,8710,1345,16.5,990,12.1,1345,1250,92.9,1010,75.1,,,,,,
593,E09000032,Wandsworth,2015,18695,3600,20.6,2180,12.5,3600,3320,92.2,2530,70.3,,,,,,
594,E09000033,Westminster,2015,55385,9060,17,6305,11.9,9060,6770,74.7,5295,58.4,,,,,,
613,E09000001,City of London,2016,30210,4850,18.6,3485,13.3,4850,3845,79.3,,,,,,,,
615,E09000003,Barnet,2016,27650,4455,17,3420,13.1,4455,3805,85.4,,,,,,,,
616,E09000004,Bexley,2016,9975,1640,18.1,1020,11.2,1640,1525,93,,,,,,,,
617,E09000005,Brent,2016,17005,3020,19.2,1840,11.7,3020,2775,91.9,,,,,,,,
618,E09000006,Bromley,2016,16785,2420,15.4,1640,10.4,2420,2245,92.8,,,,,,,,
619,E09000007,Camden,2016,34330,6050,19.3,3645,11.6,6050,5315,87.9,,,,,,,,
621,E09000009,Ealing,2016,20220,3590,19.2,2205,11.8,3590,3345,93.2,,,,,,,,
622,E09000010,Enfield,2016,15105,2650,19,1840,13.2,2650,2430,91.7,,,,,,,,
625,E09000013,Hammersmith and Fulham,2016,14625,2350,16.7,1725,12.2,2350,2115,90,,,,,,,,
626,E09000014,Haringey,2016,13760,2415,19.1,1500,11.8,2415,2225,92.1,,,,,,,,
629,E09000017,Hillingdon,2016,14745,2490,18.4,1560,11.6,2490,2310,92.8,,,,,,,,
630,E09000018,Hounslow,2016,14930,2615,18.8,1560,11.2,2615,2395,91.6,,,,,,,,
671,E09000008,Croydon,2017,17285,2470,14.7,2330,13.8,,,,,,,,,,,
673,E09000010,Enfield,2017,15560,2270,15,2285,15.1,,,,,,,,,,,
676,E09000013,Hammersmith and Fulham,2017,14650,2095,14.3,1930,13.2,,,,,,,,,,,
677,E09000014,Haringey,2017,14130,2150,15.6,1950,14.2,,,,,,,,,,,
678,E09000015,Harrow,2017,17275,2420,14.8,2310,14.1,,,,,,,,,,,
679,E09000016,Havering,2017,11305,1535,13.9,1470,13.3,,,,,,,,,,,
680,E09000017,Hillingdon,2017,15085,2105,14.3,1895,12.9,,,,,,,,,,,
681,E09000018,Hounslow,2017,15195,2130,14.3,1970,13.2,,,,,,,,,,,
682,E09000019,Islington,2017,22295,3705,17.2,2975,13.8,,,,,,,,,,,
685,E09000022,Lambeth,2017,16940,2570,15.2,2690,15.9,,,,,,,,,,,
686,E09000023,Lewisham,2017,11605,1850,16.5,1700,15.1,,,,,,,,,,,
687,E09000024,Merton,2017,13110,1915,14.8,1670,12.9,,,,,,,,,,,
689,E09000026,Redbridge,2017,16635,2680,16.7,2595,16.2,,,,,,,,,,,
690,E09000027,Richmond upon Thames,2017,15105,1885,12.8,1680,11.4,,,,,,,,,,,
691,E09000028,Southwark,2017,19370,2770,14.6,2830,14.9,,,,,,,,,,,
692,E09000029,Sutton,2017,9570,1180,12.8,1135,12.3,,,,,,,,,,,
695,E09000032,Wandsworth,2017,20095,3040,15.3,2835,14.2,,,,,,,,,,,
696,E09000033,Westminster,2017,59945,8260,14,8445,14.3,,,,,,,,,,,
