Row #,code,area,year,active_enterprises,births,birth_rate,deaths,death_rate,births,1_year_survival_number,1_year_survival_rate,2_year_survival_number,2_year_survival_rate,3_year_survival_number,3_year_survival_rate,4_year_survival_number,4_year_survival_rate,5_year_survival_number,5_year_survival_rate
267,E09000012,Hackney,2009,11230,1510,14,1535,14.3,1510,1380,91.4,1120,74.2,925,61.3,765,50.7,650,43
280,E09000025,Newham,2009,6160,1070,18,1015,17.1,1070,1000,93.5,755,70.6,575,53.7,450,42.1,375,35
285,E09000030,Tower Hamlets,2009,11880,1740,15.1,1740,15.1,1740,1520,87.4,1205,69.3,970,55.7,775,44.5,630,36.2
286,E09000031,Waltham Forest,2009,7185,975,13.6,1070,14.9,975,920,94.4,710,72.8,535,54.9,420,43.1,370,37.9
308,E09000002,Barking and Dagenham,2010,4190,635,16.3,585,15,635,560,88.2,450,70.9,335,52.8,265,41.7,230,36.2
317,E09000011,Greenwich,2010,7160,1060,15.8,895,13.4,1060,930,87.7,765,72.2,595,56.1,490,46.2,420,39.6
318,E09000012,Hackney,2010,11700,1570,14,1230,11,1570,1345,85.7,1105,70.4,870,55.4,735,46.8,640,40.8
331,E09000025,Newham,2010,6900,1215,19.7,1005,16.3,1215,1030,84.8,800,65.8,585,48.1,480,39.5,405,33.3
336,E09000030,Tower Hamlets,2010,12400,1960,16.5,1540,13,1960,1595,81.4,1330,67.9,1030,52.6,855,43.6,715,36.5
337,E09000031,Waltham Forest,2010,7720,1075,15,1060,14.8,1075,905,84.2,735,68.4,550,51.2,470,43.7,400,37.2
359,E09000002,Barking and Dagenham,2011,4280,835,19.9,455,10.9,835,785,94,605,72.5,455,54.5,375,44.9,320,38.3
368,E09000011,Greenwich,2011,7290,1215,17,775,10.8,1215,1145,94.2,890,73.3,690,56.8,575,47.3,500,41.2
369,E09000012,Hackney,2011,12150,1970,16.8,1075,9.2,1970,1825,92.6,1485,75.4,1200,60.9,1005,51,850,43.1
382,E09000025,Newham,2011,7195,1580,22.9,840,12.2,1580,1480,93.7,1120,70.9,830,52.5,675,42.7,575,36.4
387,E09000030,Tower Hamlets,2011,12850,2330,18.8,1330,10.7,2330,2180,93.6,1745,74.9,1360,58.4,1130,48.5,950,40.8
388,E09000031,Waltham Forest,2011,7940,1385,17.9,975,12.6,1385,1290,93.1,950,68.6,720,52,595,43,485,35
410,E09000002,Barking and Dagenham,2012,4580,845,19.7,560,13.1,845,790,93.5,620,73.4,475,56.2,395,46.7,335,39.6
419,E09000011,Greenwich,2012,7665,1250,17.1,915,12.6,1250,1155,92.4,890,71.2,705,56.4,585,46.8,500,40
420,E09000012,Hackney,2012,12980,2140,17.6,1345,11.1,2140,1915,89.5,1580,73.8,1255,58.6,1050,49.1,930,43.5
433,E09000025,Newham,2012,7750,1575,21.9,1085,15.1,1575,1450,92.1,1070,67.9,820,52.1,685,43.5,580,36.8
438,E09000030,Tower Hamlets,2012,13740,2395,18.6,1680,13.1,2395,2120,88.5,1660,69.3,1285,53.7,1030,43,860,35.9
439,E09000031,Waltham Forest,2012,8265,1385,17.4,1090,13.7,1385,1275,92.1,985,71.1,750,54.2,620,44.8,520,37.5
461,E09000002,Barking and Dagenham,2013,5055,1185,25.9,595,13,1185,1125,94.9,865,73,690,58.2,545,46,,
470,E09000011,Greenwich,2013,8320,1740,22.7,925,12.1,1740,1640,94.3,1265,72.7,970,55.7,825,47.4,,
471,E09000012,Hackney,2013,14180,2845,21.9,1255,9.7,2845,2670,93.8,2185,76.8,1765,62,1485,52.2,,
484,E09000025,Newham,2013,8540,2120,27.4,1140,14.7,2120,1970,92.9,1485,70,1115,52.6,930,43.9,,
489,E09000030,Tower Hamlets,2013,15030,3315,24.1,1710,12.4,3315,2970,89.6,2315,69.8,1820,54.9,1480,44.6,,
490,E09000031,Waltham Forest,2013,8970,1860,22.5,1110,13.4,1860,1735,93.3,1320,71,1070,57.5,880,47.3,,
512,E09000002,Barking and Dagenham,2014,5690,1310,25.9,665,13.2,1310,1215,92.7,970,74,770,58.8,,,,
521,E09000011,Greenwich,2014,8975,1690,20.3,1020,12.3,1690,1595,94.4,1305,77.2,1060,62.7,,,,
522,E09000012,Hackney,2014,16095,3245,22.9,1550,10.9,3245,2995,92.3,2485,76.6,1985,61.2,,,,
535,E09000025,Newham,2014,9645,2365,27.7,1240,14.5,2365,2160,91.3,1695,71.7,1330,56.2,,,,
540,E09000030,Tower Hamlets,2014,16545,3460,23,1945,12.9,3460,3185,92.1,2535,73.3,1965,56.8,,,,
541,E09000031,Waltham Forest,2014,9875,2100,23.4,1210,13.5,2100,1935,92.1,1580,75.2,1250,59.5,,,,
563,E09000002,Barking and Dagenham,2015,6560,1665,29.3,765,13.4,1665,1580,94.9,1235,74.2,,,,,,
572,E09000011,Greenwich,2015,10060,2260,25.2,1200,13.4,2260,2115,93.6,1690,74.8,,,,,,
573,E09000012,Hackney,2015,18510,4105,25.5,2025,12.6,4105,3670,89.4,2870,69.9,,,,,,
586,E09000025,Newham,2015,11055,2860,29.7,1450,15,2860,2665,93.2,2070,72.4,,,,,,
591,E09000030,Tower Hamlets,2015,18390,3920,23.7,2450,14.8,3920,3390,86.5,2640,67.3,,,,,,
592,E09000031,Waltham Forest,2015,11020,2490,25.2,1320,13.4,2490,2325,93.4,1830,73.5,,,,,,
614,E09000002,Barking and Dagenham,2016,7645,1775,27.1,915,13.9,1775,1680,94.6,,,,,,,,
623,E09000011,Greenwich,2016,11210,2225,22.1,1230,12.2,2225,2070,93,,,,,,,,
624,E09000012,Hackney,2016,21660,4670,25.2,2340,12.6,4670,4250,91,,,,,,,,
637,E09000025,Newham,2016,13685,4045,36.6,1675,15.2,4045,3840,94.9,,,,,,,,
642,E09000030,Tower Hamlets,2016,20025,3905,21.2,2705,14.7,3905,3485,89.2,,,,,,,,
643,E09000031,Waltham Forest,2016,12310,2465,22.4,1460,13.2,2465,2320,94.1,,,,,,,,
665,E09000002,Barking and Dagenham,2017,7980,1400,18.3,1235,16.2,,,,,,,,,,,
674,E09000011,Greenwich,2017,11640,1855,16.5,1655,14.8,,,,,,,,,,,
675,E09000012,Hackney,2017,23535,4360,20.1,3170,14.6,,,,,,,,,,,
688,E09000025,Newham,2017,14570,2875,21,2035,14.9,,,,,,,,,,,
693,E09000030,Tower Hamlets,2017,20545,3365,16.8,2980,14.9,,,,,,,,,,,
694,E09000031,Waltham Forest,2017,12755,2095,17,1850,15,,,,,,,,,,,
